Ranking;Score;Strategia;Base_name;Descrizione;Hold;Metric_kind;Horizon_days;Entry_kind;Tickers_used;Clusters_used;Tickers_used_N;Clusters_used_N;N;N_filter;Win_rate_%;Avg_ret_%;Median_ret_%;Total_ret_%;Std_%;Sharpe;Min_%;Max_%
3;82.51;CEO + Director (combo) — hold ret_high_60d_open;CEO + Director (combo);Cluster con almeno CEO e Director.;ret_high_60d_open;high;60;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;39.42;39.42;39.42;;;39.42;39.42
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_high_60d_open;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO.;ret_high_60d_open;high;60;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;39.42;39.42;39.42;;;39.42;39.42
3;82.51;CEO + Director (combo) — hold ret_high_90d_open;CEO + Director (combo);Cluster con almeno CEO e Director.;ret_high_90d_open;high;90;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;39.42;39.42;39.42;;;39.42;39.42
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_high_90d_open;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO.;ret_high_90d_open;high;90;open;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;39.42;39.42;39.42;;;39.42;39.42
3;82.51;CEO + Director (combo) — hold ret_high_60d_news;CEO + Director (combo);Cluster con almeno CEO e Director.;ret_high_60d_news;high;60;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;38.1;38.1;38.1;;;38.1;38.1
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_high_60d_news;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO.;ret_high_60d_news;high;60;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;38.1;38.1;38.1;;;38.1;38.1
3;82.51;CEO + Director (combo) — hold ret_high_90d_news;CEO + Director (combo);Cluster con almeno CEO e Director.;ret_high_90d_news;high;90;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;38.1;38.1;38.1;;;38.1;38.1
4;82.51;Small cap (≤1B) CEO/CFO — hold ret_high_90d_news;Small cap (≤1B) CEO/CFO;Solo small cap (market cap ≤1B) con insider CEO/CFO.;ret_high_90d_news;high;90;news;STGW;STGW|2024-02-28;STGW;STGW|2024-02-28;1;1;100.0;38.1;38.1;38.1;;;38.1;38.1
5;77.62;CEO only — hold ret_high_90d_news;CEO only;Solo cluster dove chi compra include CEO.;ret_high_90d_news;high;90;news;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;3;3;100.0;26.95;25.19;80.84;10.39;2.59;17.55;38.1
5;77.62;CEO only — hold ret_high_90d_open;CEO only;Solo cluster dove chi compra include CEO.;ret_high_90d_open;high;90;open;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;3;3;100.0;25.78;23.43;77.35;12.63;2.04;14.5;39.42
5;77.62;CEO only — hold ret_high_60d_news;CEO only;Solo cluster dove chi compra include CEO.;ret_high_60d_news;high;60;news;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;3;3;100.0;25.22;25.19;75.66;12.87;1.96;12.37;38.1
2;100.0;CEO only + Value ≥500k — hold ret_high_7d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_7d_news;high;7;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_7d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_7d_news;high;7;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
2;100.0;CEO only + Value ≥500k — hold ret_high_10d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_10d_news;high;10;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_10d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_10d_news;high;10;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
2;100.0;CEO only + Value ≥500k — hold ret_high_14d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_14d_news;high;14;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_14d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_14d_news;high;14;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
2;100.0;CEO only + Value ≥500k — hold ret_high_30d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_30d_news;high;30;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_30d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_30d_news;high;30;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
2;100.0;CEO only + Value ≥500k — hold ret_high_60d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_60d_news;high;60;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_60d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_60d_news;high;60;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
2;100.0;CEO only + Value ≥500k — hold ret_high_90d_news;CEO only + Value ≥500k;CEO e valore totale ≥ 500k $.;ret_high_90d_news;high;90;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
1;100.0;CEO only + Position +10% — hold ret_high_90d_news;CEO only + Position +10%;CEO e aumento posizione ≥10%.;ret_high_90d_news;high;90;news;SPHR;SPHR|2024-02-28;SPHR;SPHR|2024-02-28;1;1;100.0;25.19;25.19;25.19;;;25.19;25.19
5;77.62;CEO only — hold ret_high_60d_open;CEO only;Solo cluster dove chi compra include CEO.;ret_high_60d_open;high;60;open;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;ENPH,SPHR,STGW;SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;3;3;100.0;24.1;23.43;72.31;14.99;1.61;9.46;39.42
10;66.41;CEO/CFO — hold ret_high_90d_news;CEO/CFO;Solo insider con titolo CEO o CFO.;ret_high_90d_news;high;90;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.99;21.37;95.97;10.34;2.32;15.13;38.1
7;66.41;Officer/President — hold ret_high_90d_news;Officer/President;Officer / President / C-level.;ret_high_90d_news;high;90;news;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;AMN,ENPH,SPHR,STGW;AMN|2024-02-28,SPHR|2024-02-28,STGW|2024-02-28,ENPH|2024-02-28;4;4;100.0;23.99;21.37;95.97;10.34;2.32;15.13;38.1
